測鎢,潠備,�梪�,羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),
688381.SH,著兜峚,2023-06-28,32.8227,32.8529,31.2112,31.5839,2314937,
688381.SH,著兜峚,2023-06-29,31.3724,32.2083,31.3724,31.8155,1020939,
688381.SH,著兜峚,2023-06-30,32.0069,32.5809,31.463,32.5104,1475312,
688381.SH,著兜峚,2023-07-03,32.6716,32.9536,32.027,32.2788,1188800,
688381.SH,著兜峚,2023-07-04,32.5004,33.6082,32.1076,33.3363,2028869,
688381.SH,著兜峚,2023-07-05,33.3061,34.3032,32.8227,33.4169,2074123,
688381.SH,著兜峚,2023-07-06,33.6183,33.6687,33.014,33.1047,1193609,
688381.SH,著兜峚,2023-07-07,32.8327,33.0946,32.0975,32.2083,1212397,
688381.SH,著兜峚,2023-07-10,32.2587,32.9536,31.9968,32.2788,923820,
688381.SH,著兜峚,2023-07-11,32.3795,34.8269,32.3392,34.5751,2914711,
688381.SH,著兜峚,2023-07-12,34.4442,35.9246,34.4442,34.5852,3073905,
688381.SH,著兜峚,2023-07-13,34.6154,35.8139,34.3837,35.3909,2552659,
688381.SH,著兜峚,2023-07-14,35.2902,35.8541,34.6557,34.9074,1258110,
688381.SH,著兜峚,2023-07-17,34.6758,35.1089,34.1219,34.6456,959099,
688381.SH,著兜峚,2023-07-18,34.7866,35.4211,34.2427,34.3837,1175533,
688381.SH,著兜峚,2023-07-19,34.4643,34.7262,33.6384,33.7291,1250282,
688381.SH,著兜峚,2023-07-20,34.1219,34.2327,32.6313,32.7924,1263825,
688381.SH,著兜峚,2023-07-21,32.9536,33.0543,32.2889,32.5709,806718,
688381.SH,著兜峚,2023-07-24,32.6011,32.6313,31.5134,31.594,1185130,
688381.SH,著兜峚,2023-07-25,32.027,32.5205,31.745,32.4299,1150028,
688381.SH,著兜峚,2023-07-26,32.5306,32.5306,31.4227,31.6342,1340660,
688381.SH,著兜峚,2023-07-27,31.7249,31.9162,31.2415,31.2415,824823,
688381.SH,著兜峚,2023-07-28,31.604,31.604,29.7106,30.6775,1797218,
688381.SH,著兜峚,2023-07-31,30.8789,31.1105,30.4156,30.6674,843311,
688381.SH,著兜峚,2023-08-01,30.7983,31.04,30.5163,30.899,601366,
688381.SH,著兜峚,2023-08-02,30.8789,30.8789,30.4458,30.466,583340,
688381.SH,著兜峚,2023-08-03,30.3955,30.4156,29.761,30.194,1172805,
688381.SH,著兜峚,2023-08-04,30.3149,30.4962,29.5192,29.761,1361246,
688381.SH,著兜峚,2023-08-07,29.6905,29.8315,29.0157,29.0761,1067349,
688381.SH,著兜峚,2023-08-08,29.3682,29.4588,28.8545,29.0056,815947,
688381.SH,著兜峚,2023-08-09,29.1768,29.207,28.502,29.0459,546368,
688381.SH,著兜峚,2023-08-10,29.197,29.4387,28.8847,29.2775,619084,
688381.SH,著兜峚,2023-08-11,29.4085,29.4085,28.5121,28.5826,868225,
688381.SH,著兜峚,2023-08-14,28.1999,28.8243,27.9481,28.4315,849337,
688381.SH,著兜峚,2023-08-15,28.6027,28.6833,27.092,27.4546,1939179,
688381.SH,著兜峚,2023-08-16,27.2733,27.646,27.082,27.1424,863377,
688381.SH,著兜峚,2023-08-17,27.0014,27.797,26.8705,27.646,910206,
688381.SH,著兜峚,2023-08-18,27.787,28.1797,26.8302,26.9611,1758262,
688381.SH,著兜峚,2023-08-21,27.1021,27.4949,25.8633,26.4878,1800535,
688381.SH,著兜峚,2023-08-22,26.6791,26.9712,25.6317,26.4878,1548636,
688381.SH,著兜峚,2023-08-23,26.6892,26.6892,25.0375,25.2087,2560316,
688381.SH,著兜峚,2023-08-24,25.7525,26.2561,25.0979,25.7223,2933492,
688381.SH,著兜峚,2023-08-25,25.5713,25.5914,24.6749,24.8663,2219614,
688381.SH,著兜峚,2023-08-28,26.7194,26.7798,24.7756,25.0475,2149036,
688381.SH,著兜峚,2023-08-29,25.1483,26.4676,24.7756,26.3367,1962138,
688381.SH,著兜峚,2023-08-30,27.1928,28.1495,26.7899,27.8071,4358326,
688381.SH,著兜峚,2023-08-31,27.5956,28.5927,27.3237,28.2805,2879308,
688381.SH,著兜峚,2023-09-01,28.1697,28.5725,27.4647,27.8877,2060206,
688381.SH,著兜峚,2023-09-04,27.9481,28.1495,27.656,28.1294,1432247,
688381.SH,著兜峚,2023-09-05,28.1294,28.6027,28.0387,28.1495,1994283,
688381.SH,著兜峚,2023-09-06,27.9985,28.8545,27.9985,28.8142,2188051,
688381.SH,著兜峚,2023-09-07,28.8142,28.8142,27.9985,28.0992,1877333,
688381.SH,著兜峚,2023-09-08,27.8978,28.7538,27.8877,28.5826,1643525,
688381.SH,著兜峚,2023-09-11,28.7437,28.8445,28.1697,28.5826,1570659,
688381.SH,著兜峚,2023-09-12,29.1466,29.1466,28.3308,28.361,1664129,
688381.SH,著兜峚,2023-09-13,28.361,28.5524,27.7165,27.9985,1208257,
688381.SH,著兜峚,2023-09-14,28.0488,28.0488,27.4748,27.787,1073600,
688381.SH,著兜峚,2023-09-15,27.938,28.502,27.2935,28.079,1449154,
688381.SH,著兜峚,2023-09-18,27.7769,27.8474,27.1827,27.2532,1288400,
688381.SH,著兜峚,2023-09-19,27.4748,27.515,26.8705,27.0115,974723,
688381.SH,著兜峚,2023-09-20,26.9913,27.2834,26.5381,26.6187,748869,
688381.SH,著兜峚,2023-09-21,26.7496,27.092,26.4273,26.7597,955426,
688381.SH,著兜峚,2023-09-22,26.7597,27.5251,26.387,27.4848,1299796,
688381.SH,著兜峚,2023-09-25,27.4345,27.5654,26.8705,27.233,1030435,
688381.SH,著兜峚,2023-09-26,27.1122,27.2733,26.8805,26.9007,764864,
688381.SH,著兜峚,2023-09-27,26.9108,27.3942,26.7899,27.092,898935,
688381.SH,著兜峚,2023-09-28,27.2633,27.5755,26.9913,27.2935,1007860,
688381.SH,著兜峚,2023-10-09,27.2935,27.3841,26.941,27.1021,745480,
688381.SH,著兜峚,2023-10-10,27.0719,27.5352,27.0719,27.1625,1002044,
688381.SH,著兜峚,2023-10-11,27.2633,27.938,27.0417,27.646,1894289,
688381.SH,著兜峚,2023-10-12,27.6258,27.8172,26.8705,27.2935,2578607,
688381.SH,著兜峚,2023-10-13,27.2834,27.4445,26.9913,27.2431,1453671,
688381.SH,著兜峚,2023-10-16,27.2431,27.2935,26.3266,26.528,1609599,
688381.SH,著兜峚,2023-10-17,26.5079,26.6086,25.9338,26.236,2172242,
688381.SH,著兜峚,2023-10-18,26.1252,26.1655,25.259,25.3698,1897515,
688381.SH,著兜峚,2023-10-19,25.5209,26.8705,25.2893,25.9238,3809739,
688381.SH,著兜峚,2023-10-20,25.7223,26.2259,25.1885,25.249,1595949,
688381.SH,著兜峚,2023-10-23,25.2389,25.4101,24.1713,24.3627,1437097,
688381.SH,著兜峚,2023-10-24,24.262,25.0375,23.6678,24.8058,1932566,
688381.SH,著兜峚,2023-10-25,24.7756,25.259,24.6447,25.0173,1327544,
688381.SH,著兜峚,2023-10-26,24.6749,24.7454,23.6174,24.3325,2272314,
688381.SH,著兜峚,2023-10-27,24.121,25.3295,23.7886,25.0979,2280486,
688381.SH,著兜峚,2023-10-30,24.7655,26.8906,24.7655,26.6489,3278090,
688381.SH,著兜峚,2023-10-31,26.6388,26.9007,26.2662,26.4676,1378581,
688381.SH,著兜峚,2023-11-01,26.4374,27.0115,26.0043,26.105,1718253,
